This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    25301
Number of nonzeros in inequality constraint Jacobian.:    12536
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     8704
                     variables with only lower bounds:     2009
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     6909
Total number of inequality constraints...............:     2372
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     2372

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  4.7335212e+02 1.49e+01 2.94e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.3239856e+03 1.39e+01 8.93e+01   0.0 7.07e+00    -  8.84e-03 7.04e-02f  1
   2  5.6423058e+03 1.20e+01 3.26e+02   0.3 7.14e+00    -  1.99e-01 1.38e-01f  1
   3  7.7151976e+03 8.41e+00 2.20e+02   0.3 5.12e+00    -  3.43e-01 2.98e-01f  1
   4  7.8096264e+03 7.14e+00 1.72e+02   0.3 4.37e+00    -  1.56e-01 1.51e-01f  1
   5  1.1019347e+04 2.22e+00 1.72e+02   0.3 2.64e+00    -  4.30e-01 6.89e-01f  1
   6  1.4376231e+04 1.06e+00 3.00e+02   0.4 3.10e+00    -  5.26e-01 5.24e-01h  1
   7  1.7095134e+04 1.33e-01 1.71e+03   0.5 1.21e+00    -  5.15e-01 8.74e-01f  1
   8  2.8080862e+04 9.43e-02 3.47e+04   1.2 4.21e+00    -  4.94e-01 2.89e-01f  1
   9  2.9585599e+04 4.56e-02 1.46e+03   0.9 9.85e-01    -  1.00e+00 9.90e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  2.9864316e+04 3.75e-02 1.75e+06   0.8 5.72e-01    -  8.41e-01 1.00e+00h  1
  11  2.0884165e+04 3.68e-02 1.18e+02   0.6 1.07e+00    -  1.00e+00 1.00e+00f  1
  12  1.5193846e+04 5.36e-02 1.71e+07   0.5 1.25e+00    -  8.64e-01 1.00e+00f  1
  13  1.2986727e+04 5.65e-02 1.82e+05   0.4 5.89e-01    -  1.00e+00 9.96e-01h  1
  14  2.0373706e+04 2.28e-01 7.97e+07   0.6 1.78e+00    -  5.58e-01 1.00e+00f  1
  15  1.6646602e+04 1.28e-01 2.23e+07   0.5 1.63e+00    -  4.11e-01 1.00e+00h  1
  16  1.5263421e+04 1.72e-02 2.75e+02   0.5 5.69e-01    -  1.00e+00 1.00e+00f  1
  17  2.0336101e+04 8.61e-02 7.27e+07   0.6 1.28e+00    -  3.53e-01 1.00e+00f  1
  18  1.5414489e+04 1.02e-01 7.73e+06   0.5 1.54e+00    -  8.11e-01 1.00e+00f  1
  19  1.4622679e+04 4.63e-02 3.19e+06   0.5 9.94e-01    -  5.87e-01 7.94e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  1.1017144e+04 1.99e-02 1.04e+02   0.3 8.57e-01    -  1.00e+00 1.00e+00f  1
  21  8.0343163e+03 2.39e-02 3.34e+07  -1.4 1.90e+00    -  5.33e-01 3.69e-01f  1
  22  8.7059597e+03 2.12e-02 1.68e+07   0.3 2.00e+00    -  2.16e-01 9.59e-02h  4
  23  7.9422409e+03 1.85e-02 7.74e+07  -0.3 7.77e-01    -  1.00e+00 1.56e-01f  1
  24  5.4374901e+03 1.26e-01 4.12e+07  -0.4 2.32e+00    -  1.00e+00 5.29e-01f  1
  25  6.7096191e+03 1.12e-01 2.81e+07   0.2 4.68e+00    -  3.56e-01 3.73e-01f  1
  26  1.3502300e+04 6.00e-01 1.28e+08   0.5 2.78e+00    -  2.09e-01 7.54e-01f  1
  27  9.4850797e+03 2.03e-01 2.62e+07   0.2 1.30e+00    -  6.33e-01 8.37e-01f  1
  28  8.3943224e+03 1.15e-01 1.11e+07   0.2 9.48e-01    -  4.37e-01 6.58e-01f  1
  29  7.9873220e+03 5.55e-02 4.10e+06   0.2 4.34e-01    -  2.43e-01 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  6.7211071e+03 1.57e-02 8.23e+01   0.1 4.02e-01    -  1.00e+00 1.00e+00f  1
  31  5.3400104e+03 1.17e-02 1.77e+07  -0.1 5.92e-01    -  9.70e-01 5.49e-01f  1
  32  9.5215246e+03 1.46e-01 2.54e+02   0.2 1.05e+00    -  1.00e+00 1.00e+00f  1
  33  8.0109830e+03 2.71e-02 1.40e+07   0.1 4.33e-01    -  5.26e-01 9.26e-01f  1
  34  6.4089624e+03 3.79e-02 9.73e+06   0.1 4.31e-01    -  4.15e-01 1.00e+00f  1
  35  6.7879738e+03 5.76e-03 4.84e+01   0.1 1.86e-01    -  1.00e+00 1.00e+00f  1
  36  4.4654620e+03 2.06e-02 2.04e+07  -0.2 8.60e-01    -  9.95e-01 7.22e-01f  1
  37  5.5393275e+03 7.17e-03 3.36e+02  -0.2 9.14e-01    -  1.00e+00 1.00e+00H  1
  38  3.6285738e+03 2.07e-02 5.04e+06  -0.3 6.33e-01    -  1.00e+00 6.66e-01f  1
  39  3.7070746e+03 1.95e-02 1.13e+07  -0.1 1.26e+00    -  5.37e-01 1.44e-01f  3
