This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    20101
Number of nonzeros in inequality constraint Jacobian.:     4360
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     6924
                     variables with only lower bounds:     1599
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     5499
Total number of inequality constraints...............:     1252
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1252

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  4.6016658e+02 1.39e+01 2.93e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.1213329e+03 1.32e+01 8.30e+00   0.1 6.35e+00    -  1.02e-02 5.32e-02f  1
   2  4.4763675e+03 1.28e+01 3.14e+01   1.0 4.37e+01    -  7.50e-03 3.24e-02f  1
   3  3.3534025e+03 1.14e+01 2.98e+01  -0.5 4.80e+00    -  4.91e-02 1.09e-01f  1
   4  8.7838908e+03 1.12e+01 4.99e+01   1.5 1.31e+02    -  1.15e-02 1.65e-02f  1
   5  6.0843022e+03 9.32e+00 3.67e+01  -0.2 6.09e+00    -  2.24e-01 1.66e-01f  1
   6  1.0759676e+04 7.96e+00 8.30e+01   0.7 1.05e+01    -  2.92e-01 1.46e-01f  1
   7  9.7381200e+03 4.71e+00 6.72e+01   0.2 3.51e+00    -  4.71e-01 4.09e-01f  1
   8  1.0601167e+04 2.42e+00 1.03e+02   0.1 2.69e+00    -  9.29e-01 6.98e-01H  1
   9  7.6058513e+03 1.56e+00 2.61e+02  -0.3 1.95e+00    -  9.69e-01 5.17e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  6.7767810e+03 3.46e+00 6.28e+02   0.0 3.83e+00    -  9.66e-01 7.14e-01f  1
  11  7.3575155e+03 8.12e-01 1.02e+02   0.1 9.96e-01    -  1.00e+00 9.90e-01f  1
  12  4.5768277e+03 4.20e-01 1.08e+05  -0.3 9.95e-01    -  9.96e-01 6.55e-01f  1
  13  2.4322920e+03 1.68e+00 1.94e+05  -0.5 1.06e+00    -  1.00e+00 7.36e-01f  1
  14  1.5523045e+03 8.81e-01 3.95e+05  -1.1 1.15e+00    -  1.00e+00 4.66e-01f  1
