This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    30501
Number of nonzeros in inequality constraint Jacobian.:     6600
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    10484
                     variables with only lower bounds:     2419
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     8319
Total number of inequality constraints...............:     1892
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1892

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  4.7830788e+02 1.50e+01 2.94e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.1223128e+03 1.43e+01 6.99e+00   0.1 5.98e+00    -  1.03e-02 4.44e-02f  1
   2  4.4141115e+03 1.38e+01 3.46e+01   1.0 3.00e+01    -  3.68e-03 3.29e-02f  1
   3  7.8992890e+03 1.32e+01 1.72e+01   0.9 2.36e+01    -  1.02e-01 4.75e-02f  1
   4  5.7950539e+03 1.17e+01 1.53e+01  -4.0 9.54e+00    -  1.13e-01 1.11e-01f  1
   5  1.7329689e+04 1.13e+01 7.09e+01   1.7 1.01e+02    -  1.86e-02 3.24e-02f  1
   6  1.3984241e+04 8.79e+00 6.05e+01   0.3 6.45e+00    -  2.02e-01 2.25e-01f  1
   7  1.2759860e+04 7.37e+00 4.60e+01   0.1 3.35e+00    -  4.46e-01 1.61e-01f  1
   8  9.9695444e+03 2.58e+00 2.84e+01  -0.1 3.40e+00    -  6.79e-01 6.50e-01f  1
   9  1.1546232e+04 2.36e+00 1.49e+02  -0.2 5.60e+00    -  7.51e-01 3.88e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  4.4878250e+04 3.08e+00 5.49e+03   1.7 7.20e+01    -  6.91e-03 1.28e-01f  1
  11  3.7360525e+04 2.97e+00 4.05e+03   0.6 2.33e+01    -  2.72e-01 2.30e-01f  1
  12  2.4335713e+04 5.19e+00 6.34e+02   0.6 6.71e+00    -  7.90e-01 6.28e-01f  1
  13  2.2927967e+04 6.39e+00 2.98e+03   0.6 5.21e+00    -  5.28e-01 2.91e-01f  2
  14  2.0330781e+04 2.76e+00 2.33e+02   0.6 1.14e+00    -  1.00e+00 9.90e-01f  1
  15  1.0651840e+04 7.93e-01 1.62e+05   0.1 2.72e+00    -  9.96e-01 7.37e-01f  1
  16  2.3462460e+04 4.51e+00 5.23e+06   1.0 1.70e+01    -  4.71e-01 2.30e-01f  1
  17  1.7474866e+04 3.75e+00 1.20e+01   0.6 2.69e+00    -  1.00e+00 1.00e+00f  1
  18  8.3846824e+03 1.18e+00 5.27e+06  -0.1 2.24e+00    -  7.80e-01 6.79e-01f  1
  19  7.3210131e+03 2.24e+00 2.77e+06  -0.1 2.02e+00    -  1.00e+00 8.93e-01H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  3.7343487e+03 1.91e+00 1.31e+07  -0.4 1.58e+00    -  1.00e+00 6.42e-01f  1
  21  2.1141205e+03 1.06e+00 2.14e+07  -1.1 6.29e-01    -  9.99e-01 5.48e-01f  1
  22  1.4082144e+03 5.62e-01 1.16e+07  -1.2 7.30e-01    -  1.00e+00 4.86e-01f  1
