This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:   115261
Number of nonzeros in inequality constraint Jacobian.:    24856
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    39498
                     variables with only lower bounds:     9102
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:    31302
Total number of inequality constraints...............:     7108
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     7108

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  5.0149921e+02 1.49e+01 8.14e-01   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.2211636e+03 1.42e+01 6.12e+00   0.1 7.71e+00    -  9.53e-03 4.95e-02f  1
   2  4.2199705e+03 1.38e+01 2.16e+01   1.0 4.84e+01    -  8.70e-03 2.49e-02f  1
   3  8.8146531e+03 1.36e+01 1.48e+01   1.5 1.20e+02    -  1.57e-02 1.37e-02f  1
   4  7.6225749e+03 1.22e+01 1.32e+01  -4.0 1.70e+01    -  7.15e-02 1.09e-01f  1
   5  7.5067651e+03 1.15e+01 9.92e+00  -0.2 4.58e+00    -  1.89e-01 5.27e-02f  1
   6  1.1791294e+04 1.14e+01 4.21e+01   1.7 1.44e+02    -  1.59e-02 8.77e-03f  1
   7  1.2268013e+04 8.31e+00 2.62e+01  -0.0 5.64e+00    -  2.34e-01 2.72e-01f  1
   8  1.0726266e+04 3.86e+00 1.33e+01  -0.2 3.18e+00    -  5.46e-01 5.36e-01f  1
   9  8.4310111e+03 2.22e+00 1.25e+01  -1.0 3.00e+00    -  5.92e-01 4.54e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  6.1458944e+03 1.19e+00 6.17e+01  -0.8 1.47e+00    -  9.74e-01 4.75e-01f  1
  11  5.1516306e+03 4.07e+00 7.29e+01  -1.1 6.69e+00    -  6.57e-01 3.63e-01f  1
  12  2.4992807e+03 1.43e+00 7.70e+01  -0.9 1.39e+00    -  1.00e+00 7.91e-01f  1
  13  1.4796831e+03 6.17e-01 2.12e+02  -1.2 5.14e-01    -  9.98e-01 7.01e-01f  1
  14  9.1471338e+02 5.25e-01 2.78e+02  -1.4 4.80e-01    -  9.99e-01 8.36e-01f  1
  15  6.7272533e+02 2.24e-01 1.26e+03  -1.8 4.45e-01    -  1.00e+00 6.74e-01f  1
  16  6.0101527e+02 5.05e-02 3.11e+03  -1.7 4.14e-01    -  1.00e+00 7.85e-01f  1
  17  7.1500463e+02 3.63e-02 3.66e+04  -1.3 9.34e-01    -  7.32e-01 4.87e-01f  1
  18  6.6853481e+02 2.82e-02 1.48e+04  -1.5 9.27e-01    -  5.40e-01 5.50e-01f  1
  19  6.0931009e+02 5.52e-02 3.88e+04  -1.6 1.65e+00    -  1.00e+00 8.75e-01f  1
