This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:   163101
Number of nonzeros in inequality constraint Jacobian.:    35160
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    55874
                     variables with only lower bounds:    12874
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:    44274
Total number of inequality constraints...............:    10052
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:    10052

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  5.5653178e+01 1.97e+02 1.01e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  2.5580251e+02 1.84e+02 6.13e+00  -0.0 1.20e+01    -  9.81e-03 6.65e-02f  1
   2  9.4818495e+03 2.54e+01 5.41e+01  -0.2 1.02e+01    -  7.61e-02 9.09e-01f  1
   3  6.7033324e+03 1.67e+01 9.21e+01  -0.3 4.09e+00    -  3.06e-01 4.14e-01f  1
   4  5.0753704e+03 5.40e+00 1.09e+02  -0.8 1.91e+00    -  4.36e-01 7.10e-01f  1
   5  4.0101759e+03 3.92e+00 6.16e+01  -4.0 1.58e+00    -  3.77e-01 4.34e-01f  1
   6  3.6595064e+03 3.10e+00 4.12e+01  -0.9 1.45e+00    -  2.65e-01 2.10e-01f  1
   7  3.3428020e+03 2.40e+00 3.13e+01  -0.7 2.17e+00    -  2.54e-01 2.53e-01f  1
   8  3.1212339e+03 1.53e+00 3.98e+02  -0.7 2.12e+00    -  3.59e-01 2.67e-01f  1
   9  3.3839801e+03 2.05e+00 6.58e+02  -0.5 2.58e+00    -  5.28e-01 6.10e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  3.1322502e+03 1.31e+00 1.14e+03  -1.0 1.12e+00    -  8.71e-01 6.96e-01f  1
  11  2.7152137e+03 5.84e-01 1.53e+02  -1.1 5.52e-01    -  1.00e+00 9.92e-01f  1
  12  2.4525566e+03 3.70e-01 4.81e+05  -1.5 1.02e+00    -  1.00e+00 3.78e-01f  1
  13  2.1413541e+03 9.81e-01 6.85e+05  -1.6 1.97e+00    -  1.00e+00 3.95e-01f  1
  14  2.1003425e+03 1.12e+00 1.34e+06  -1.2 4.36e+00    -  5.70e-01 2.35e-01f  1
  15  2.0358904e+03 1.21e+00 1.59e+06  -1.3 2.51e+00    -  8.92e-01 3.54e-01f  1
  16  1.9794780e+03 1.05e+00 1.57e+06  -1.3 2.52e+00    -  7.04e-01 2.64e-01f  1
  17  2.1112770e+03 8.54e-01 3.19e+06  -0.9 2.79e+00    -  6.23e-01 2.66e-01f  1
  18  2.0640880e+03 8.75e-01 2.01e+06  -1.1 2.39e+00    -  6.31e-01 3.03e-01f  1
