This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    46101
Number of nonzeros in inequality constraint Jacobian.:    14232
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    15824
                     variables with only lower bounds:     3649
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:    12549
Total number of inequality constraints...............:     4292
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     4292

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  4.7162430e+02 1.80e+01 2.96e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.7502775e+03 1.54e+01 5.36e+01  -0.5 2.75e+00    -  2.14e-02 1.45e-01f  1
   2  2.2233311e+03 1.46e+01 5.55e+01  -0.0 2.30e+00    -  4.44e-01 5.26e-02f  1
   3  3.1404742e+03 1.29e+01 5.43e+01   0.1 3.63e+00    -  1.23e-01 1.13e-01f  1
   4  3.8765031e+03 1.00e+01 9.95e+01  -0.3 3.67e+00    -  1.40e-01 2.26e-01h  1
   5  3.9740471e+03 8.53e+00 1.10e+02  -0.4 3.97e+00    -  2.73e-01 1.47e-01f  1
   6  4.1903534e+03 6.84e+00 6.31e+01  -0.4 3.08e+00    -  1.23e-01 1.98e-01h  1
   7  5.0254036e+03 4.86e+00 6.68e+01  -0.1 3.99e+00    -  3.29e-01 2.89e-01f  1
   8  4.8550309e+03 4.52e+00 1.56e+02  -4.0 3.37e+00    -  2.52e-01 7.06e-02f  1
   9  5.1656733e+03 3.71e+00 1.39e+02  -0.0 4.03e+00    -  3.21e-01 1.78e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  7.0568535e+03 2.45e+00 8.60e+01   0.3 2.54e+00    -  2.84e-01 3.40e-01f  1
  11  7.0495973e+03 1.08e+00 1.22e+02  -0.0 3.02e+00    -  7.32e-01 5.60e-01f  1
  12  7.1498358e+03 4.17e-01 1.20e+02  -0.0 1.62e+00    -  6.98e-01 6.47e-01h  1
  13  6.9577357e+03 1.53e-01 1.60e+02  -0.1 1.08e+00    -  8.76e-01 8.36e-01h  1
  14  6.2468207e+03 8.42e-02 5.43e+02  -0.1 7.52e-01    -  6.73e-01 6.50e-01f  1
  15  5.3477204e+03 2.61e-02 2.55e+03  -0.3 3.64e-01    -  1.00e+00 9.32e-01f  1
  16  4.5599258e+03 1.71e-02 9.53e+04  -0.7 5.93e-01    -  1.00e+00 5.59e-01f  1
