This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    19061
Number of nonzeros in inequality constraint Jacobian.:     9464
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     6568
                     variables with only lower bounds:     1517
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     5217
Total number of inequality constraints...............:     1796
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1796

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  4.6505579e+02 6.63e+00 2.94e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  7.8950487e+02 6.19e+00 1.25e+01  -0.3 6.34e+00    -  3.63e-02 6.60e-02f  1
   2  1.4573182e+03 5.63e+00 4.15e+01   0.0 5.56e+00    -  4.78e-01 9.02e-02f  1
   3  2.6702426e+03 4.72e+00 4.68e+01   0.3 4.04e+00    -  2.10e-01 1.62e-01f  1
   4  3.6789121e+03 2.87e+00 2.40e+01   0.1 2.58e+00    -  3.37e-01 3.93e-01f  1
   5  3.7376630e+03 1.31e+00 4.52e+01  -0.0 2.50e+00    -  4.84e-01 5.43e-01f  1
   6  3.5740675e+03 5.51e-01 4.34e+01  -0.1 1.72e+00    -  7.01e-01 5.80e-01h  1
   7  3.6693968e+03 2.35e-01 9.68e+01  -0.1 2.75e+00    -  6.62e-01 5.73e-01h  1
   8  2.7395852e+03 6.41e-02 1.24e+02  -0.6 1.38e+00    -  8.76e-01 7.27e-01f  1
   9  3.8196334e+03 2.01e-02 1.12e+02  -0.1 7.82e-01    -  1.00e+00 9.86e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  2.6625051e+03 3.15e-02 3.38e+03  -0.5 1.01e+00    -  6.45e-01 6.61e-01f  1
  11  2.7827911e+03 2.34e-03 3.62e+05  -0.3 9.24e-01    -  6.40e-01 1.00e+00H  1
  12  4.0186561e+03 5.02e-02 2.14e+07  -0.1 8.61e-01    -  7.34e-01 1.00e+00f  1
  13  3.6008012e+03 3.75e-02 1.58e+07  -0.2 1.41e+00    -  2.09e-01 2.71e-01f  1
  14  2.8790625e+03 8.30e-03 9.37e+00  -0.2 3.76e-01    -  1.00e+00 1.00e+00f  1
  15  1.9556080e+03 2.85e-02 8.26e+06  -0.9 1.46e+00    -  6.53e-01 4.86e-01f  1
  16  1.7575572e+03 1.07e-02 3.51e+05  -0.5 5.39e-01    -  9.15e-01 1.00e+00f  1
  17  1.3543684e+03 6.37e-03 6.97e+04  -0.7 4.74e-01    -  1.00e+00 9.94e-01f  1
  18  1.9466212e+03 1.76e-02 1.11e+07  -0.4 4.75e-01    -  2.43e-01 9.16e-01f  1
  19  1.6750286e+03 9.45e-03 4.32e+06  -0.6 3.75e-01    -  7.57e-01 6.25e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  1.4146362e+03 3.82e-03 2.01e+05  -0.6 2.37e-01    -  1.70e-01 9.04e-01f  1
  21  1.4290072e+03 1.23e-04 1.09e+05  -0.6 3.22e-01    -  8.21e-01 1.00e+00H  1
  22  1.4060225e+03 8.39e-04 1.59e+04  -0.6 2.05e-01    -  6.10e-01 1.00e+00f  1
  23  1.1519997e+03 1.73e-03 3.86e+06  -0.9 2.38e-01    -  1.00e+00 6.33e-01f  1
  24  1.5002368e+03 4.48e-03 5.11e+05  -0.6 1.92e-01    -  9.62e-01 1.00e+00f  1
  25  1.3064795e+03 1.68e-03 1.34e+06  -0.7 1.68e-01    -  7.27e-01 1.00e+00f  1
  26  9.8756226e+02 1.02e-02 3.15e+05  -0.9 3.08e-01    -  1.00e+00 9.62e-01f  1
  27  1.3385842e+03 1.19e-02 9.56e+05  -0.6 3.94e-01    -  7.92e-01 8.79e-01f  1
  28  1.2308960e+03 4.09e-03 2.41e+06  -0.8 5.06e-01    -  1.90e-01 8.35e-01f  1
  29  1.1199331e+03 2.92e-03 1.45e+05  -0.8 3.22e-01    -  9.55e-01 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  9.5288034e+02 3.36e-03 3.22e+06  -1.0 2.20e-01    -  1.00e+00 5.84e-01f  1
  31  7.6380068e+02 3.47e-03 1.70e+06  -1.9 3.58e-01    -  4.19e-01 4.34e-01f  1
  32  7.9397071e+02 1.44e-03 7.34e+05  -1.2 4.41e-01    -  1.79e-01 9.31e-01H  1
  33  7.0687479e+02 3.18e-03 7.51e+04  -1.2 2.66e-01    -  4.89e-01 1.00e+00f  1
  34  6.3746649e+02 1.76e-03 2.11e+06  -1.5 1.68e-01    -  1.00e+00 4.14e-01f  1
  35  7.0216829e+02 1.12e-03 1.57e+06  -1.2 1.15e-01    -  5.95e-01 9.94e-01h  1
  36  6.1556909e+02 6.40e-04 1.38e+06  -1.5 1.12e-01    -  1.00e+00 6.03e-01f  1
  37  7.0906875e+02 1.66e-03 1.43e+06  -1.2 1.12e-01    -  6.04e-01 1.00e+00f  1
  38  6.3427409e+02 7.02e-04 1.52e+01  -1.3 1.02e-01    -  1.00e+00 1.00e+00f  1
  39  5.6964058e+02 8.25e-04 7.82e+05  -2.0 2.41e-01    -  1.35e-01 3.36e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  7.0762461e+02 1.27e-03 1.17e+06  -1.1 1.42e-01    -  5.86e-01 1.00e+00f  1
  41  6.7086689e+02 1.14e-03 5.42e+05  -1.3 1.34e-01    -  7.21e-01 6.10e-01f  1
  42  6.1952849e+02 2.05e-04 1.81e+05  -1.3 6.34e-02    -  1.66e-01 1.00e+00f  1
  43  5.5900895e+02 5.34e-04 4.13e+05  -1.5 9.98e-02    -  1.00e+00 8.16e-01f  1
  44  5.2546768e+02 5.45e-04 5.20e+05  -1.7 2.41e-01    -  1.00e+00 5.67e-01f  1
  45  5.3590834e+02 5.19e-04 3.94e+05  -1.4 2.12e-01    -  6.66e-01 3.33e-01f  1
  46  5.0974552e+02 4.56e-04 8.83e+05  -2.0 1.93e-01    -  7.37e-01 2.99e-01f  1
  47  5.5850225e+02 1.61e-03 4.16e+05  -1.3 3.35e-01    -  7.76e-01 4.96e-01f  1
  48  5.4018848e+02 1.00e-03 3.73e+04  -1.5 1.64e-01    -  6.22e-01 4.02e-01f  1
  49  5.2744546e+02 6.76e-04 2.35e+04  -1.5 3.40e-01    -  4.34e-01 4.42e-01F  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  5.0398117e+02 4.46e-04 4.19e+04  -1.5 9.11e-02    -  7.95e-01 1.00e+00f  1
  51  5.2723976e+02 9.68e-05 2.48e+04  -1.5 2.34e-01    -  6.08e-01 9.03e-01H  1
  52  6.0092875e+02 2.06e-03 1.33e+06  -1.3 2.07e-01    -  3.34e-01 8.84e-01f  1
  53  5.4704172e+02 1.31e-03 6.02e+05  -1.4 4.39e-01    -  7.19e-01 5.82e-01f  1
  54  5.1472398e+02 7.28e-04 5.03e+04  -1.4 1.41e-01    -  4.53e-01 9.99e-01f  1
