This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    74701
Number of nonzeros in inequality constraint Jacobian.:    23032
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    25614
                     variables with only lower bounds:     5904
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:    20304
Total number of inequality constraints...............:     6932
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     6932

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  4.8434160e+02 8.25e+00 1.76e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  7.0833147e+02 7.27e+00 4.52e+00  -0.6 2.96e+00    -  2.50e-02 1.19e-01f  1
   2  1.1166210e+03 5.31e+00 6.67e+00  -0.6 2.65e+00    -  1.12e-01 2.70e-01f  1
   3  8.9758082e+02 2.53e+00 7.42e+00  -0.8 2.09e+00    -  3.53e-01 5.23e-01f  1
   4  1.1156112e+03 5.58e-01 7.27e+00  -0.8 1.03e+00    -  6.76e-01 7.79e-01f  1
   5  1.0158456e+03 2.16e-01 2.30e+01  -1.0 8.28e-01    -  9.67e-01 7.87e-01h  1
   6  1.1061352e+03 1.28e-01 5.11e+00  -0.8 4.21e-01    -  9.85e-01 9.90e-01f  1
   7  7.5961400e+02 2.17e-02 6.28e+03  -1.3 1.86e-01    -  9.97e-01 8.36e-01f  1
   8  5.7811658e+02 1.13e-02 3.45e+04  -1.8 3.95e-01    -  1.00e+00 5.53e-01f  1
   9  5.0771836e+02 2.34e-02 2.58e+05  -1.3 6.96e-01    -  1.00e+00 4.63e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  4.6427103e+02 7.77e-03 5.28e+00  -1.4 4.36e-01    -  1.00e+00 1.00e+00H  1
  11  3.9135498e+02 3.30e-02 1.31e+05  -1.5 2.73e-01    -  9.48e-01 1.00e+00f  1
  12  3.1619197e+02 1.27e-02 7.68e+05  -1.8 1.49e-01    -  1.00e+00 6.19e-01f  1
  13  3.8917797e+02 2.41e-02 5.62e+05  -1.2 1.93e+00    -  5.32e-01 2.65e-01f  1
  14  3.1950675e+02 2.44e-02 1.09e+04  -1.6 2.83e-01    -  1.00e+00 9.71e-01f  1
  15  3.1152695e+02 3.09e-03 2.37e+00  -1.6 4.27e-01    -  8.04e-01 1.00e+00H  1
  16  2.1439756e+02 2.25e-02 3.73e+04  -1.8 1.07e-01    -  9.97e-01 9.69e-01f  1
  17  1.7592239e+02 9.04e-03 1.39e+05  -2.0 2.31e-01    -  1.00e+00 7.38e-01f  1
  18  2.2624777e+02 2.30e-02 9.85e+05  -1.3 2.42e+00    -  4.58e-01 1.57e-01f  1
