This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    19282
Number of nonzeros in inequality constraint Jacobian.:     4136
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     6568
                     variables with only lower bounds:     1517
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     5445
Total number of inequality constraints...............:     1188
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1188

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  4.6859665e+02 6.74e+00 9.90e+01   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  8.3294281e+02 6.56e+00 9.63e+01   0.2 4.84e+00    -  4.17e-02 2.72e-02f  1
   2  2.1203158e+03 5.61e+00 8.22e+01   0.1 4.12e+00    -  1.70e-01 1.45e-01f  1
   3  5.0310848e+03 3.21e+00 4.75e+01   0.2 6.40e+00    -  2.00e-01 4.27e-01f  1
   4  3.6342035e+03 1.90e+00 2.94e+01  -0.2 2.89e+00    -  6.22e-01 4.10e-01f  1
   5  3.5115199e+03 1.17e+00 1.25e+02  -0.2 1.60e+00    -  9.18e-01 3.81e-01f  1
   6  3.9042670e+03 2.66e-01 5.30e+01  -0.2 8.96e-01    -  8.43e-01 7.73e-01h  1
   7  3.7974476e+03 2.93e-02 9.79e+01  -0.2 3.90e-01    -  9.56e-01 8.90e-01h  1
   8  2.9777519e+03 1.15e-02 1.24e+03  -0.5 8.93e-01    -  9.94e-01 6.85e-01f  1
   9  3.1341837e+03 2.03e-02 4.84e+03  -0.1 5.31e+00    -  6.27e-01 1.72e-01f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  2.5131287e+03 1.15e-02 1.21e+03  -0.4 1.00e+00    -  1.00e+00 7.50e-01f  1
  11  2.4850770e+03 1.15e-02 2.52e+03  -0.3 2.97e+00    -  7.35e-01 1.56e-01h  3
  12  1.9810510e+03 1.15e-02 9.70e+02  -0.6 4.29e-01    -  1.00e+00 6.17e-01f  1
  13  1.8052640e+03 1.20e-02 1.40e+03  -0.7 1.77e+00    -  1.00e+00 2.72e-01f  2
  14  1.4564034e+03 1.15e-02 8.53e+02  -0.7 3.41e-01    -  1.00e+00 5.76e-01f  1
  15  1.3252373e+03 1.15e-02 8.72e+02  -0.8 8.47e-01    -  7.90e-01 4.66e-01H  1
  16  1.0383093e+03 1.35e-02 7.44e+00  -0.8 2.57e-01    -  9.99e-01 1.00e+00f  1
  17  1.0417182e+03 1.15e-02 3.38e+02  -0.8 3.42e-01    -  7.65e-01 1.00e+00f  1
  18  8.9591225e+02 1.15e-02 3.14e+02  -1.1 1.23e-01    -  1.00e+00 5.49e-01f  1
  19  9.8235384e+02 1.15e-02 5.65e+02  -0.7 5.57e-01    -  9.93e-01 6.67e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  8.9890126e+02 1.15e-02 4.44e+01  -0.9 1.81e-01    -  9.19e-01 1.00e+00f  1
  21  8.0925142e+02 1.15e-02 2.48e+02  -1.3 1.38e-01    -  1.00e+00 4.10e-01f  1
  22  7.3849169e+02 1.15e-02 3.05e+02  -1.2 5.58e-01    -  9.02e-01 4.60e-01f  1
  23  7.9169760e+02 1.58e-02 3.35e+02  -0.9 4.62e-01    -  6.08e-01 1.00e+00f  1
  24  7.6036282e+02 1.48e-02 1.68e+02  -1.1 4.17e-01    -  1.00e+00 7.53e-01h  1
  25  6.9902633e+02 1.15e-02 1.59e+02  -1.1 2.74e-01    -  6.91e-01 1.00e+00f  1
  26  6.8705521e+02 1.15e-02 1.86e+02  -1.1 2.60e-01    -  9.99e-01 6.62e-01h  1
  27  6.5533922e+02 1.15e-02 1.34e+02  -1.5 1.43e-01    -  1.00e+00 4.90e-01f  1
  28  6.2943865e+02 1.15e-02 9.69e+01  -1.7 2.21e-01    -  1.00e+00 4.51e-01f  1
  29  6.6770688e+02 1.15e-02 2.15e+02  -1.0 2.77e-01    -  7.86e-01 5.96e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  6.4462066e+02 1.15e-02 3.94e+00  -1.2 9.73e-02    -  1.00e+00 1.00e+00f  1
  31  6.1315656e+02 1.15e-02 3.58e+01  -1.9 1.60e-01    -  6.80e-01 4.27e-01f  1
  32  5.9842125e+02 1.15e-02 9.28e+01  -1.6 2.05e-01    -  9.97e-01 6.60e-01f  1
  33  5.9946288e+02 1.15e-02 5.51e+01  -1.4 1.08e-01    -  7.96e-01 9.65e-01f  1
  34  5.8637528e+02 1.15e-02 1.06e+02  -1.6 1.81e-01    -  9.99e-01 4.60e-01f  1
  35  6.1919940e+02 1.15e-02 1.59e+02  -1.2 9.37e-02    -  8.41e-01 1.00e+00H  1
  36  5.8852086e+02 1.15e-02 8.11e+01  -1.7 1.04e-01    -  1.00e+00 4.75e-01f  1
  37  5.7053690e+02 1.15e-02 5.99e+01  -1.8 1.35e-01    -  1.00e+00 6.31e-01f  1
  38  5.6981921e+02 1.15e-02 3.11e+02  -1.4 1.97e-01    -  9.33e-01 1.97e-01f  2
  39  5.6006666e+02 1.15e-02 2.30e+00  -1.7 6.60e-02    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  5.7050266e+02 1.15e-02 4.36e+01  -1.4 2.22e-01    -  8.91e-01 9.56e-01H  1
  41  5.5806208e+02 1.15e-02 4.63e+01  -1.6 1.40e-01    -  1.00e+00 7.67e-01f  1
  42  5.6800610e+02 1.15e-02 1.47e+02  -1.3 1.21e-01    -  5.79e-01 1.00e+00f  1
  43  5.5308209e+02 1.15e-02 3.32e+01  -1.5 1.31e-01    -  1.00e+00 8.65e-01f  1
  44  5.7893037e+02 1.15e-02 2.87e+00  -1.3 1.43e-01    -  1.00e+00 1.00e+00f  1
  45  5.7297974e+02 1.15e-02 4.08e+00  -1.4 2.40e-01    -  1.00e+00 1.00e+00h  1
  46  5.5125335e+02 1.15e-02 3.32e+01  -2.1 2.42e-01    -  7.11e-01 3.53e-01f  1
  47  5.4941882e+02 1.15e-02 3.57e+02  -1.4 3.24e-01    -  1.00e+00 1.46e-01f  1
  48  5.4102941e+02 1.15e-02 9.50e-01  -1.6 7.39e-02    -  1.00e+00 1.00e+00f  1
